X2 house age;X3 distance to the nearest MRT station;X4 number of convenience stores;Y house price of unit area
17.03;4.441.334;1;43.09.00
0;2.929.978;6;63.03.00
17.07;8.377.233;0;28.08.00
17;1.485.097;4;30.07.00
16.02;2.288.011;3;24.04.00
15.09;2.893.248;5;53
03.09;2.147.376;3;31.07.00
32.06.00;493.657;7;40.06.00
15.07;8.159.314;4;38.01.00
17.08;1783.18.00;3;23.07
34.07.00;4.827.581;5;41.01.00
17.02;3.905.684;5;40.01.00
17.06;8.377.233;0;23
10.08;2.525.822;1;117.05.00
17.07;4.516.419;8;26.05.00
13;4.922.313;5;40.05.00
13.02;1.701.289;1;29.03.00
27.05.00;3.940.173;7;41
01.05;2.338.284;7;49.07.00
19.01;4.611.016;5;34
21.02;2.185.128;3;27.07.00
0;2.083.905;6;44
02.06;1554.25.00;3;31.01.00
02.03;1.843.302;6;45.04.00
04.07;3.877.721;9;44.08.00
2;1.455.798;1;25.06.00
33.05.00;1.978.671;2;23.05
15;3.832.805;7;34.04.00
30.01.00;7.182.937;3;55.03.00
05.09;9.045.606;9;56.03.00
19.02;4.611.016;5;32.09.00
16.06;3.236.912;6;51
13.09;2.893.248;5;44.05.00
37.07.00;4.903.446;0;37
03.04;5.647.425;7;54.04.00
17.05;3.956.747;5;24.05.00
12.06;3.832.805;7;42.05.00
26.04.00;3.355.273;6;38.01.00
18.02;2179.59.00;3;21.08
12.05;1.144.436;4;34.01.00
34.09.00;5.670.349;4;28.05.00
16.07;4.082.015;0;16.07
33.02.00;1.217.262;10;46.01.00
02.05;1.562.442;4;36.09.00
38;4.617.848;0;35.07.00
16.05;2.288.011;3;23.02
38.03.00;4.397.105;0;38.04.00
20;1.626.083;3;29.04.00
16.02;2.893.248;5;55
14.04;1.699.803;1;50.02.00
10.03;3079.89;0;24.07.00
16.04;2.893.248;5;53
30.03.00;1264.73;0;19.01
16.04;1.643.499;2;24.07.00
21.03;5.377.971;4;42.02.00
35.04.00;3.185.292;9;78
08.03;1.048.101;5;42.08.00
03.07;5.779.615;6;41.06.00
15.06;1.756.411;2;27.03.00
13.03;250.631;7;42
15.06;7.527.669;2;37.05.00
07.01;3.795.575;10;49.08.00
34.06.00;2.726.783;5;26.09.00
13.05;4.197.349;0;18.06
16.09;9.647.496;4;37.07.00
12.09;1.874.823;1;33.01.00
28.06.00;1.971.338;6;42.05.00
12.04;1.712.632;2;31.03.00
36.06.00;4.888.193;8;38.01.00
04.01;5.647.425;7;62.01.00
03.05;7.573.377;3;36.07.00
15.09;1.497.713;3;23.06
13.06;4.197.349;0;19.02
32;1.156.777;0;12.08
25.06.00;4519.69;0;15.06
39.08.00;6.177.134;2;39.06.00
07.08;1.048.101;5;38.04.00
30;1.013.341;5;22.08
27.03.00;3.376.016;6;36.05.00
05.01;1.867.233;2;35.06.00
31.03.00;6.008.604;5;30.09.00
31.05.00;258.186;9;36.03.00
01.07;3.299.747;5;50.04.00
33.06.00;2.708.895;0;42.09.00
13;7.500.704;2;37
05.07;9.045.606;9;53.05.00
33.05.00;5.632.854;8;46.06.00
34.06.00;3085.17.00;0;41.02.00
0;1.854.296;0;37.09.00
13.02;1.712.632;2;30.08.00
17.04;6.488.021;1;11.02
04.06;2.596.607;6;53.07.00
07.08;1.048.101;5;47
13.02;4.922.313;5;42.03.00
4;2.180.245;3;28.06.00
18.04;2.674.961;3;25.07.00
04.01;2.147.376;3;31.03.00
12.02;1.360.139;1;30.01.00
03.08;3.838.624;5;60.07.00
10.03;2.114.473;1;45.03.00
0;3.389.679;9;44.09.00
01.01;1.935.845;6;45.01.00
05.06;2.408.993;0;24.07.00
32.09.00;8.730.222;10;47.01.00
41.04.00;281.205;8;63.03.00
17.01;967.04.00;4;40
32.03.00;1.099.455;10;48
35.03.00;6.141.394;7;33.01.00
17.03;2.261.432;4;29.05.00
14.02;1.801.544;1;24.08.00
15;1.828.319;2;20.09
18.02;3.508.515;1;43.01.00
20.02;2.185.128;3;22.08
15.09;2.893.248;5;42.01.00
04.01;3.128.963;5;51.07.00
33.09.00;1.576.052;7;41.05.00
0;2.740.144;1;52.02.00
05.04;3.905.684;5;49.05.00
21.07;1.157.988;0;23.08
14.07;1.717.193;2;30.05.00
03.09;4.966.105;8;56.08.00
37.03.00;5.878.877;8;37.04.00
0;2.929.978;6;69.07.00
14.01;2.893.248;5;53.03.00
8;1.325.469;9;47.03.00
16.03;3.529.564;0;29.03.00
29.01.00;5.061.144;4;40.03.00
16.01;4.066.587;0;12.09
18.03;8.288.643;10;46.06.00
0;1.854.296;0;55.03.00
16.02;2.103.555;3;25.06.00
10.04;2.251.938;4;27.03.00
40.09.00;1.223.619;8;67.07.00
32.08.00;3.778.302;9;38.06.00
06.02;1.939.749;1;31.03.00
42.07.00;443.802;6;35.03.00
16.09;967.04.00;4;40.03.00
32.06.00;4.136.271;1;24.07.00
21.02;5.125.487;4;42.05.00
37.01.00;9.186.357;1;31.09.00
13.01;1.164.838;4;32.02.00
14.07;1.717.193;2;23
12.07;1.701.289;1;37.03.00
26.08.00;4.827.581;5;35.05.00
07.06;2175.03.00;3;27.07.00
12.07;1.874.823;1;28.05.00
30.09.00;161.942;9;39.07.00
16.04;2.893.248;5;41.02.00
23;1.309.945;6;37.02.00
01.09;3.721.386;7;40.05.00
05.02;2.408.993;0;22.03
18.05;2.175.744;3;28.01.00
13.07;4.082.015;0;15.04
05.06;9.045.606;9;50
18.08;3.909.696;7;40.06.00
08.01;1.048.101;5;52.05.00
06.05;9.045.606;9;63.09.00
